id,state,lgbt,FUNDOTHSTATE,FUNDLOCALGOV,FUNDSMHA,FUNDSTATEWELFARE,FUNDSTATEJUV,FUNDSTATEEDUC
201900236,AL,1,0,0,0,0,0,0
201900237,AL,0,1,1,1,0,0,0
201900238,AL,0,0,0,0,0,0,0
201900239,AL,0,0,1,1,1,1,0
201900240,AL,0,1,1,1,0,0,0
201900241,AL,0,0,0,0,0,0,0
201900242,AL,0,0,0,1,0,0,0
201900243,AL,0,0,1,1,1,0,0
201900244,AL,0,1,1,1,1,0,0
201900245,AL,0,0,1,1,0,0,0
201900246,AL,0,0,0,1,0,0,0
201900247,AL,0,1,1,1,0,0,0
201900248,AL,0,0,1,1,0,0,0
201900249,AL,0,0,1,1,1,0,0
201900250,AL,0,0,0,0,0,0,0
201900251,AL,0,1,1,1,1,1,1
201900252,AL,0,1,1,1,1,0,1
201900253,AL,0,1,0,1,1,0,1
201900254,AL,0,1,1,1,1,1,1
201900255,AL,0,0,0,0,0,0,0
201900256,AL,0,1,0,1,0,0,0
201900257,AL,0,0,0,1,0,0,0
201900258,AL,0,1,1,1,0,0,0
201900259,AL,0,0,0,1,0,0,0
201900260,AL,0,0,0,0,0,0,0
201900261,AL,0,0,0,1,0,0,0
201900262,AL,0,0,1,0,1,1,0
201900263,AL,0,1,0,1,0,0,1
201900264,AL,0,1,1,1,1,0,1
201900265,AL,0,0,0,1,0,0,0
201900266,AL,0,0,1,1,0,0,0
201900267,AL,0,0,0,1,0,0,0
201900268,AL,0,0,0,0,0,0,0
201900269,AL,0,0,0,0,0,0,0
201900270,AL,0,0,0,0,1,0,0
201900271,AL,0,0,0,0,0,0,0
201900272,AL,0,0,0,0,0,0,0
201900273,AL,0,0,0,0,0,0,0
201900274,AR,0,0,0,0,0,0,0
201900275,AR,0,0,0,1,0,0,0
201900276,AR,0,0,0,0,1,0,0
201900277,AR,0,1,0,1,1,1,0
201900278,AR,0,0,0,1,1,0,1
201900279,AR,1,0,0,0,0,0,0
201900280,AR,0,0,0,0,0,0,0
201900281,AR,0,0,0,0,0,0,0
201900282,AR,0,1,1,1,1,1,1
201900283,AR,0,0,0,1,0,0,0
201900284,AR,0,0,0,0,0,0,0
201900285,AR,0,1,0,0,0,0,0
201900286,AR,0,0,0,1,1,1,1
201900287,AR,0,0,0,1,1,0,1
201900288,AR,1,0,0,0,0,0,0
201900289,AR,0,0,0,0,0,0,0
201900290,AR,0,1,0,1,1,1,0
201900291,AR,0,1,0,1,1,0,1
201900292,AR,0,1,0,1,1,1,0
201900293,AR,0,1,0,1,0,0,0
201900294,AR,0,1,1,1,1,1,1
201900295,AR,1,0,0,1,1,1,0
201900296,AR,0,1,0,1,0,0,0
201900297,AR,0,0,0,0,1,0,0
201900298,AR,0,1,1,0,1,1,0
201900299,AR,0,1,1,1,1,1,1
201900300,AR,0,0,0,1,0,0,0
201900301,AR,0,0,0,0,0,0,0
201900302,AR,0,0,0,0,0,0,0
201900303,AR,0,1,0,0,1,0,0
201900304,AR,0,0,0,0,0,0,0
201900305,AR,0,0,0,0,1,0,0
201900306,AR,0,1,1,1,1,1,1
201900307,AR,0,1,1,1,1,1,1
201900308,AR,0,0,0,0,0,0,0
201900309,AR,0,0,0,0,0,0,0
201900310,AR,0,0,0,0,0,0,0
201900311,AR,0,0,0,0,0,0,0
201900312,AR,0,0,0,0,0,0,0
201900313,AR,0,1,0,0,0,0,0
201900314,AR,0,1,1,1,1,1,1
201900315,AR,1,0,0,0,0,0,0
201900316,AR,0,0,0,0,0,0,0
201900317,AR,0,1,0,0,1,0,1
201900318,AR,0,0,0,1,0,0,0
201900319,AR,0,1,0,1,1,1,0
201900320,AR,0,1,0,1,1,1,0
201900321,AR,1,0,0,1,1,0,0
201900322,AR,0,1,1,1,1,1,0
201900323,AR,0,0,0,1,0,0,0
201900324,AR,0,0,0,0,0,0,0
201900325,AR,1,0,0,0,0,0,0
201900326,AR,0,0,0,1,0,0,0
201900327,AR,0,1,1,1,1,1,1
201900328,AR,0,0,0,1,0,0,0
201900329,AR,1,0,0,0,0,0,0
201900330,AR,0,0,0,0,0,0,0
201900331,AR,0,1,1,1,1,1,1
201900332,AR,0,1,1,0,1,1,0
201900333,AR,0,0,0,0,0,0,0
201900334,AR,1,0,0,0,0,0,0
201900335,AR,0,0,0,0,0,0,0
201900336,AR,1,1,0,1,0,0,0
201900337,AR,0,0,0,1,0,0,0
201900338,AR,0,1,1,1,1,1,0
201900339,AR,0,0,0,0,0,0,0
201900340,AR,0,1,0,0,0,0,0
201900341,AR,0,0,0,1,0,0,0
201900342,AR,0,0,0,1,0,0,0
201900343,AR,0,1,1,1,1,1,0
201900344,AR,0,1,1,1,1,1,1
201900345,AR,0,0,0,0,0,0,0
201900346,AR,0,0,0,0,0,0,0
201900347,AR,1,1,0,0,0,0,0
201900348,AR,0,1,0,1,1,1,0
201900349,AR,0,0,0,0,0,0,0
201900350,AR,0,1,0,1,0,0,0
201900351,AR,0,0,0,0,0,0,0
201900352,AR,0,0,0,0,0,0,0
201900353,AR,1,1,0,1,0,0,0
201900354,AR,1,0,0,1,0,0,0
201900355,AR,0,0,0,0,0,0,0
201900356,AR,1,0,0,1,1,1,0
201900357,AR,0,0,0,1,0,0,0
201900358,AR,0,0,0,1,1,0,0
201900359,AR,0,1,0,0,0,0,0
201900360,AR,0,0,0,1,0,0,0
201900361,AR,0,0,0,0,0,0,0
201900362,AR,0,0,0,0,0,0,0
201900363,AR,1,0,0,1,0,0,0
201900364,AR,0,0,0,0,0,0,0
201900365,AR,0,0,0,1,0,0,0
201900366,AR,1,0,0,0,0,0,0
201900367,AR,0,0,0,0,0,0,0
201900368,AR,0,0,0,1,0,0,0
201900369,AR,0,0,0,1,0,0,0
201900370,AR,0,0,0,0,0,0,0
201900371,AR,0,0,0,0,0,0,0
201900372,AR,0,0,0,0,0,0,0
201900373,AR,1,1,1,1,1,1,0
201900374,AR,0,1,1,0,1,1,0
201900375,AR,0,0,0,1,0,0,0
201900376,AR,0,0,0,0,0,0,0
201900377,AR,0,0,0,1,0,1,0
201900378,AR,0,0,1,0,0,0,0
201900379,AR,0,1,1,1,1,1,1
201900380,AR,0,1,1,1,1,1,1
201900381,AR,0,0,0,0,0,0,0
201900382,AR,0,0,0,1,0,0,0
201900383,AR,0,1,1,1,1,1,1
201900384,AR,0,1,1,1,1,1,1
201900385,AR,0,0,0,1,0,0,0
201900386,AR,1,0,0,1,0,0,0
201900387,AR,0,1,0,0,1,0,0
201900388,AR,1,1,0,1,1,1,0
201900389,AR,0,1,0,1,1,0,1
201900390,AR,0,1,0,1,1,1,0
201900391,AR,0,1,1,1,1,1,1
201900392,AR,0,0,0,0,1,0,0
201900393,AR,0,1,0,0,1,0,0
201900394,AR,0,1,1,1,1,1,1
201900395,AR,0,0,0,1,0,1,0
201900396,AR,0,1,0,1,0,0,0
201900397,AR,0,1,1,1,1,1,1
201900398,AR,0,1,0,0,0,0,0
201900399,AR,0,0,0,1,0,0,0
201900400,AR,0,1,1,1,1,1,1
201900401,AR,1,0,0,0,0,0,0
201900402,AR,0,1,1,1,0,0,1
201900403,AR,1,0,0,0,0,0,0
201900404,AR,0,0,0,0,0,0,0
201900405,AR,0,1,0,1,1,1,0
201900406,AR,0,0,0,1,0,0,0
201900407,AR,0,1,1,0,1,1,0
201900408,AR,1,0,0,1,1,1,0
201900409,AR,0,0,0,1,0,0,0
201900410,AR,1,0,0,0,1,1,1
201900411,AR,1,0,0,0,0,1,1
201900412,AR,1,0,0,0,0,0,0
201900413,AR,1,0,0,1,0,0,0
201900414,AR,1,0,0,1,1,1,0
201900415,AR,0,1,0,0,1,0,0
201900416,AR,0,1,1,1,0,1,1
201900417,AR,0,1,0,1,1,0,0
201900418,AR,0,0,0,1,1,0,0
201900419,AR,0,1,1,1,1,1,1
201900420,AR,0,0,0,0,0,0,1
201900421,AR,1,1,1,1,1,1,1
201900422,AR,0,0,0,1,0,0,0
201900423,AR,0,1,0,1,1,1,1
201900424,AR,0,0,0,1,0,0,0
201900425,AR,1,0,1,1,0,0,0
201900426,AR,1,0,0,0,0,0,0
201900427,AR,0,0,0,1,1,1,0
201900428,AR,0,1,1,1,1,1,1
201900429,AR,0,1,0,1,1,0,0
201900430,AR,0,0,0,1,0,0,0
201900431,AR,0,0,1,1,0,0,0
201900432,AR,0,1,1,1,1,1,1
201900433,AR,0,1,1,1,1,1,1
201900434,AR,0,1,0,0,0,0,0
