state,case_state,year,lgbtq_total,govt_total,lgbtq_perc,govt_fund,t,state_policy,temp_id,t2,l_lgbtq_total,l_state_policy,l_govt_fund,l2_lgbtq_total,l2_state_policy,l2_govt_fund,l3_lgbtq_total,l3_state_policy,l3_govt_fund,l4_lgbtq_total,l4_state_policy,l4_govt_fund,l5_lgbtq_total,l5_state_policy,l5_govt_fund,l6_lgbtq_total,l6_state_policy,l6_govt_fund,l_lgbtq_perc,l2_lgbtq_perc,l3_lgbtq_perc,l4_lgbtq_perc,l5_lgbtq_perc,l6_lgbtq_perc,fd_govt_fund,fd_l_govt_fund,fd_l2_govt_fund,fd_l3_govt_fund,fd_l4_govt_fund
new hampshire,30,2014,17,45,26.153846153846157,69.23076923076923,1,68.96551724137932,30,1,16,13.793103448275861,92.98245614035088,6,4.597701149425287,96.55172413793103,92,16.091954022988507,85.31645569620252,21,11.494252873563218,94.44444444444444,49,4.597701149425287,82.6086956521739,62,13.793103448275861,88.93805309734513,14.035087719298245,20.689655172413794,23.29113924050633,19.444444444444446,23.67149758454106,27.43362831858407,-23.75168690958165,-3.5692679975801553,11.235268441728508,-9.127988748241918,11.835748792270536
new jersey,31,2014,79,283,22.443181818181817,80.39772727272727,1,91.95402298850574,31,1,17,68.96551724137932,69.23076923076923,16,13.793103448275861,92.98245614035088,6,4.597701149425287,96.55172413793103,92,16.091954022988507,85.31645569620252,21,11.494252873563218,94.44444444444444,49,4.597701149425287,82.6086956521739,26.153846153846157,14.035087719298245,20.689655172413794,23.29113924050633,19.444444444444446,23.67149758454106,11.16695804195804,-23.75168690958165,-3.5692679975801553,11.235268441728508,-9.127988748241918
new mexico,32,2014,23,62,33.82352941176471,91.17647058823529,1,73.5632183908046,32,1,79,91.95402298850574,80.39772727272727,17,68.96551724137932,69.23076923076923,16,13.793103448275861,92.98245614035088,6,4.597701149425287,96.55172413793103,92,16.091954022988507,85.31645569620252,21,11.494252873563218,94.44444444444444,22.443181818181817,26.153846153846157,14.035087719298245,20.689655172413794,23.29113924050633,19.444444444444446,10.778743315508024,11.16695804195804,-23.75168690958165,-3.5692679975801553,11.235268441728508
nevada,33,2014,12,35,26.08695652173913,76.08695652173914,1,71.26436781609196,33,1,23,73.5632183908046,91.17647058823529,79,91.95402298850574,80.39772727272727,17,68.96551724137932,69.23076923076923,16,13.793103448275861,92.98245614035088,6,4.597701149425287,96.55172413793103,92,16.091954022988507,85.31645569620252,33.82352941176471,22.443181818181817,26.153846153846157,14.035087719298245,20.689655172413794,23.29113924050633,-15.08951406649615,10.778743315508024,11.16695804195804,-23.75168690958165,-3.5692679975801553
new york,34,2014,334,887,30.090090090090087,79.90990990990991,1,66.66666666666666,34,1,12,71.26436781609196,76.08695652173914,23,73.5632183908046,91.17647058823529,79,91.95402298850574,80.39772727272727,17,68.96551724137932,69.23076923076923,16,13.793103448275861,92.98245614035088,6,4.597701149425287,96.55172413793103,26.08695652173913,33.82352941176471,22.443181818181817,26.153846153846157,14.035087719298245,20.689655172413794,3.822953388170774,-15.08951406649615,10.778743315508024,11.16695804195804,-23.75168690958165
ohio,35,2014,121,511,20.790378006872853,87.80068728522336,1,2.2988505747126435,35,1,334,66.66666666666666,79.90990990990991,12,71.26436781609196,76.08695652173914,23,73.5632183908046,91.17647058823529,79,91.95402298850574,80.39772727272727,17,68.96551724137932,69.23076923076923,16,13.793103448275861,92.98245614035088,30.090090090090087,26.08695652173913,33.82352941176471,22.443181818181817,26.153846153846157,14.035087719298245,7.890777375313448,3.822953388170774,-15.08951406649615,10.778743315508024,11.16695804195804
oklahoma,36,2014,37,130,22.5609756097561,79.26829268292683,1,29.88505747126437,36,1,121,2.2988505747126435,87.80068728522336,334,66.66666666666666,79.90990990990991,12,71.26436781609196,76.08695652173914,23,73.5632183908046,91.17647058823529,79,91.95402298850574,80.39772727272727,17,68.96551724137932,69.23076923076923,20.790378006872853,30.090090090090087,26.08695652173913,33.82352941176471,22.443181818181817,26.153846153846157,-8.532394602296534,7.890777375313448,3.822953388170774,-15.08951406649615,10.778743315508024
oregon,37,2014,41,181,21.1340206185567,93.29896907216495,1,98.85057471264368,37,1,37,29.88505747126437,79.26829268292683,121,2.2988505747126435,87.80068728522336,334,66.66666666666666,79.90990990990991,12,71.26436781609196,76.08695652173914,23,73.5632183908046,91.17647058823529,79,91.95402298850574,80.39772727272727,22.5609756097561,20.790378006872853,30.090090090090087,26.08695652173913,33.82352941176471,22.443181818181817,14.030676389238124,-8.532394602296534,7.890777375313448,3.822953388170774,-15.08951406649615
pennsylvania,38,2014,142,528,22.362204724409448,83.14960629921259,1,48.275862068965516,38,1,41,98.85057471264368,93.29896907216495,37,29.88505747126437,79.26829268292683,121,2.2988505747126435,87.80068728522336,334,66.66666666666666,79.90990990990991,12,71.26436781609196,76.08695652173914,23,73.5632183908046,91.17647058823529,21.1340206185567,22.5609756097561,20.790378006872853,30.090090090090087,26.08695652173913,33.82352941176471,-10.149362772952358,14.030676389238124,-8.532394602296534,7.890777375313448,3.822953388170774
rhode island,39,2014,11,55,16.176470588235293,80.88235294117648,1,80.45977011494253,39,1,142,48.275862068965516,83.14960629921259,41,98.85057471264368,93.29896907216495,37,29.88505747126437,79.26829268292683,121,2.2988505747126435,87.80068728522336,334,66.66666666666666,79.90990990990991,12,71.26436781609196,76.08695652173914,22.362204724409448,21.1340206185567,22.5609756097561,20.790378006872853,30.090090090090087,26.08695652173913,-2.2672533580361147,-10.149362772952358,14.030676389238124,-8.532394602296534,7.890777375313448
