state,case_state,year,lgbtq_total,govt_total,lgbtq_perc,govt_fund,t,state_policy,temp_id
california,5,2017,171,712,19.7459584295612,82.21709006928405,4,84.14634146341463,155
colorado,6,2017,21,167,11.351351351351353,90.27027027027027,4,62.19512195121951,156
connecticut,7,2017,56,182,25.925925925925924,84.25925925925925,4,73.17073170731707,157
delaware,8,2017,12,30,36.36363636363637,90.9090909090909,4,50,158
florida,9,2017,75,381,15.991471215351813,81.2366737739872,4,18.29268292682927,159
georgia,10,2017,42,170,21,85,4,2.4390243902439024,160
hawaii,11,2017,8,31,22.857142857142858,88.57142857142857,4,53.65853658536586,161
iowa,12,2017,11,136,7.333333333333333,90.66666666666666,4,37.80487804878049,162
idaho,13,2017,26,124,17.80821917808219,84.93150684931507,4,9.75609756097561,163
illinois,14,2017,26,318,6.683804627249357,81.74807197943444,4,68.29268292682927,164
indiana,15,2017,34,256,12.363636363636363,93.0909090909091,4,20.73170731707317,165
kansas,16,2017,13,112,10.569105691056912,91.05691056910568,4,15.24390243902439,166
kentucky,17,2017,31,183,14.903846153846153,87.98076923076923,4,20.73170731707317,167
louisiana,18,2017,25,108,14.204545454545455,61.36363636363637,4,7.317073170731707,168
massachusetts,19,2017,68,245,21.58730158730159,77.77777777777779,4,70.73170731707317,169
maryland,20,2017,57,201,21.59090909090909,76.13636363636364,4,62.19512195121951,170
maine,21,2017,16,169,8.60215053763441,90.86021505376344,4,53.65853658536586,171
michigan,22,2017,53,287,15.727002967359049,85.16320474777447,4,14.634146341463413,172
minnesota,23,2017,27,194,12.053571428571429,86.60714285714286,4,59.756097560975604,173
missouri,24,2017,14,188,6.60377358490566,88.67924528301887,4,14.634146341463413,174
mississippi,25,2017,24,144,13.872832369942195,83.23699421965318,4,4.878048780487805,175
montana,26,2017,11,84,12.643678160919542,96.55172413793103,4,12.195121951219512,176
north carolina,27,2017,43,209,16.731517509727624,81.32295719844358,4,16.463414634146343,177
north dakota,28,2017,4,25,12.5,78.125,4,7.317073170731707,178
nebraska,29,2017,19,129,14.285714285714285,96.99248120300751,4,4.878048780487805,179
new hampshire,30,2017,21,50,33.33333333333333,79.36507936507937,4,28.04878048780488,180
new jersey,31,2017,57,242,18.627450980392158,79.08496732026144,4,71.95121951219512,181
new mexico,32,2017,12,50,20.689655172413794,86.20689655172413,4,48.78048780487805,182
nevada,33,2017,8,39,17.391304347826086,84.78260869565217,4,59.756097560975604,183
new york,34,2017,153,668,18.14946619217082,79.24080664294188,4,68.29268292682927,184
ohio,35,2017,96,487,17.422867513611614,88.38475499092559,4,12.195121951219512,185
oklahoma,36,2017,32,118,22.377622377622377,82.51748251748252,4,7.317073170731707,186
oregon,37,2017,26,142,16.666666666666664,91.02564102564102,4,75.60975609756098,187
pennsylvania,38,2017,81,472,14.185639229422067,82.66199649737302,4,32.926829268292686,188
rhode island,39,2017,9,47,16.071428571428573,83.92857142857143,4,78.04878048780488,189
south carolina,40,2017,19,93,17.431192660550458,85.3211009174312,4,6.097560975609756,190
south dakota,41,2017,2,47,3.9215686274509802,92.15686274509804,4,3.6585365853658534,191
tennessee,42,2017,26,248,9.48905109489051,90.51094890510949,4,1.2195121951219512,192
texas,43,2017,47,287,13.78299120234604,84.1642228739003,4,14.634146341463413,193
utah,44,2017,16,122,11.594202898550725,88.40579710144928,4,29.878048780487802,194
virginia,45,2017,34,250,12.830188679245284,94.33962264150944,4,12.195121951219512,195
vermont,46,2017,20,65,27.027027027027028,87.83783783783784,4,71.95121951219512,196
washington,47,2017,52,287,16.40378548895899,90.53627760252367,4,71.95121951219512,197
wisconsin,48,2017,59,347,14.047619047619047,82.61904761904762,4,26.82926829268293,198
west virginia,49,2017,9,102,7.894736842105263,89.47368421052632,4,10.975609756097562,199
wyoming,50,2017,6,42,14.285714285714285,100,4,6.097560975609756,200
alaska,1,2018,14,83,15.384615384615385,91.20879120879121,5,17.073170731707318,201
alabama,2,2018,17,154,9.6045197740113,87.00564971751412,5,0,202
arkansas,3,2018,33,169,14.537444933920703,74.44933920704845,5,8.536585365853659,203
arizona,4,2018,92,315,25.205479452054796,86.3013698630137,5,15.853658536585366,204
california,5,2018,215,703,25.26439482961222,82.6086956521739,5,86.58536585365853,205
colorado,6,2018,28,162,15.384615384615385,89.01098901098901,5,63.41463414634146,206
connecticut,7,2018,73,194,32.158590308370044,85.46255506607929,5,74.39024390243902,207
delaware,8,2018,9,33,25,91.66666666666666,5,59.14634146341463,208
florida,9,2018,93,372,19.294605809128633,77.17842323651453,5,25,209
georgia,10,2018,48,183,21.91780821917808,83.56164383561644,5,2.4390243902439024,210
hawaii,11,2018,9,34,23.684210526315788,89.47368421052632,5,68.29268292682927,211
iowa,12,2018,18,125,12.76595744680851,88.65248226950354,5,39.02439024390244,212
idaho,13,2018,26,110,20.47244094488189,86.61417322834646,5,15.853658536585366,213
illinois,14,2018,41,301,11.263736263736265,82.6923076923077,5,69.51219512195121,214
indiana,15,2018,36,268,12.5,93.05555555555556,5,21.951219512195124,215
kansas,16,2018,15,109,12.396694214876034,90.08264462809917,5,11.585365853658537,216
kentucky,17,2018,27,187,12.558139534883722,86.9767441860465,5,20.73170731707317,217
louisiana,18,2018,36,105,19.78021978021978,57.692307692307686,5,7.926829268292683,218
massachusetts,19,2018,71,244,23.278688524590162,80,5,75.60975609756098,219
maryland,20,2018,62,184,25.101214574898783,74.49392712550608,5,67.6829268292683,220
maine,21,2018,19,163,10.555555555555555,90.55555555555556,5,56.09756097560976,221
michigan,22,2018,64,297,18.13031161473088,84.13597733711048,5,29.268292682926827,222
minnesota,23,2018,39,204,16.595744680851062,86.80851063829788,5,66.46341463414635,223
missouri,24,2018,21,182,9.95260663507109,86.25592417061611,5,15.24390243902439,224
mississippi,25,2018,27,138,15.789473684210526,80.7017543859649,5,6.097560975609756,225
montana,26,2018,12,80,14.457831325301203,96.3855421686747,5,22.5609756097561,226
north carolina,27,2018,47,233,16.376306620209057,81.18466898954703,5,11.585365853658537,227
north dakota,28,2018,7,28,20.588235294117645,82.35294117647058,5,6.707317073170732,228
nebraska,29,2018,19,131,13.970588235294118,96.32352941176471,5,4.878048780487805,229
new hampshire,30,2018,14,46,24.137931034482758,79.3103448275862,5,48.170731707317074,230
new jersey,31,2018,64,251,20.447284345047922,80.19169329073482,5,76.82926829268293,231
new mexico,32,2018,18,60,27.692307692307693,92.3076923076923,5,54.268292682926834,232
nevada,33,2018,10,40,20.833333333333336,83.33333333333334,5,67.07317073170732,233
new york,34,2018,166,667,19.644970414201183,78.93491124260355,5,69.51219512195121,234
ohio,35,2018,95,494,16.873889875666073,87.74422735346359,5,14.02439024390244,235
oklahoma,36,2018,32,123,21.91780821917808,84.24657534246576,5,6.097560975609756,236
oregon,37,2018,26,147,15.853658536585366,89.63414634146342,5,76.21951219512195,237
pennsylvania,38,2018,93,454,16.577540106951872,80.92691622103388,5,42.073170731707314,238
rhode island,39,2018,11,44,19.642857142857142,78.57142857142857,5,79.8780487804878,239
south carolina,40,2018,18,92,17.142857142857142,87.61904761904762,5,4.878048780487805,240
south dakota,41,2018,3,44,6.122448979591836,89.79591836734694,5,4.878048780487805,241
tennessee,42,2018,35,249,12.63537906137184,89.89169675090253,5,2.4390243902439024,242
texas,43,2018,51,279,15.133531157270031,82.7893175074184,5,14.634146341463413,243
utah,44,2018,23,132,15.2317880794702,87.41721854304636,5,28.04878048780488,244
virginia,45,2018,44,232,17.813765182186234,93.92712550607287,5,13.414634146341465,245
vermont,46,2018,18,64,24.65753424657534,87.67123287671232,5,73.17073170731707,246
washington,47,2018,64,311,17.97752808988764,87.35955056179775,5,78.04878048780488,247
wisconsin,48,2018,74,342,18.271604938271604,84.44444444444444,5,29.878048780487802,248
west virginia,49,2018,13,111,10.743801652892563,91.73553719008265,5,14.634146341463413,249
wyoming,50,2018,9,47,18.75,97.91666666666666,5,7.926829268292683,250
alaska,1,2019,17,80,18.27956989247312,86.02150537634408,6,15.24390243902439,251
alabama,2,2019,17,140,9.444444444444445,77.77777777777779,6,0,252
arkansas,3,2019,36,138,17.82178217821782,68.31683168316832,6,10.975609756097562,253
arizona,4,2019,108,325,25.653206650831358,77.19714964370546,6,17.682926829268293,254
california,5,2019,303,695,31.827731092436974,73.00420168067227,6,93.90243902439023,255
colorado,6,2019,40,152,21.052631578947366,80,6,76.21951219512195,256
connecticut,7,2019,92,185,40,80.43478260869566,6,79.8780487804878,257
delaware,8,2019,9,27,25,75,6,59.756097560975604,258
florida,9,2019,110,354,21.153846153846153,68.07692307692308,6,26.82926829268293,259
georgia,10,2019,59,181,25,76.69491525423729,6,3.6585365853658534,260
hawaii,11,2019,8,30,20.51282051282051,76.92307692307693,6,76.21951219512195,261
iowa,12,2019,19,120,13.286713286713287,83.91608391608392,6,42.68292682926829,262
idaho,13,2019,38,113,27.142857142857142,80.71428571428572,6,12.804878048780488,263
illinois,14,2019,75,272,18.89168765743073,68.51385390428212,6,73.78048780487805,264
indiana,15,2019,38,239,13.333333333333334,83.85964912280703,6,26.82926829268293,265
kansas,16,2019,22,88,19.130434782608695,76.52173913043478,6,15.853658536585366,266
kentucky,17,2019,27,175,12.385321100917432,80.27522935779817,6,20.73170731707317,267
louisiana,18,2019,48,79,25.396825396825395,41.7989417989418,6,6.707317073170732,268
massachusetts,19,2019,78,203,23.636363636363637,61.51515151515151,6,81.70731707317073,269
maryland,20,2019,82,158,29.078014184397162,56.02836879432624,6,72.5609756097561,270
maine,21,2019,23,152,12.70718232044199,83.97790055248619,6,68.90243902439023,271
michigan,22,2019,70,273,19.021739130434785,74.18478260869566,6,40.853658536585364,272
minnesota,23,2019,46,196,17.293233082706767,73.68421052631578,6,70.1219512195122,273
missouri,24,2019,28,169,13.461538461538462,81.25,6,13.414634146341465,274
mississippi,25,2019,28,126,16.56804733727811,74.55621301775149,6,9.75609756097561,275
montana,26,2019,11,75,12.941176470588237,88.23529411764706,6,25,276
north carolina,27,2019,69,216,23.232323232323232,72.72727272727273,6,18.29268292682927,277
north dakota,28,2019,5,24,15.151515151515152,72.72727272727273,6,6.707317073170732,278
nebraska,29,2019,25,130,17.24137931034483,89.65517241379311,6,6.097560975609756,279
new hampshire,30,2019,17,44,24.285714285714285,62.857142857142854,6,52.4390243902439,280
new jersey,31,2019,84,225,26.837060702875398,71.8849840255591,6,78.65853658536585,281
new mexico,32,2019,12,56,17.391304347826086,81.15942028985508,6,63.41463414634146,282
nevada,33,2019,28,46,42.42424242424242,69.6969696969697,6,79.26829268292683,283
new york,34,2019,232,494,26.976744186046513,57.44186046511628,6,89.02439024390245,284
ohio,35,2019,130,485,21.1038961038961,78.73376623376623,6,14.02439024390244,285
oklahoma,36,2019,25,108,17.24137931034483,74.48275862068967,6,8.536585365853659,286
oregon,37,2019,47,151,25.683060109289617,82.5136612021858,6,79.8780487804878,287
pennsylvania,38,2019,121,438,20.68376068376068,74.87179487179488,6,45.1219512195122,288
rhode island,39,2019,11,43,17.46031746031746,68.25396825396825,6,85.36585365853658,289
south carolina,40,2019,16,83,15.09433962264151,78.30188679245283,6,8.536585365853659,290
south dakota,41,2019,4,42,8.16326530612245,85.71428571428571,6,3.6585365853658534,291
tennessee,42,2019,44,234,14.76510067114094,78.52348993288591,6,4.2682926829268295,292
texas,43,2019,81,276,21.09375,71.875,6,12.195121951219512,293
utah,44,2019,61,177,25.416666666666664,73.75,6,33.53658536585366,294
virginia,45,2019,57,258,19.587628865979383,88.65979381443299,6,12.804878048780488,295
vermont,46,2019,16,54,23.52941176470588,79.41176470588235,6,84.14634146341463,296
washington,47,2019,83,305,20.85427135678392,76.63316582914574,6,79.8780487804878,297
wisconsin,48,2019,94,311,21.91142191142191,72.49417249417249,6,36.58536585365854,298
west virginia,49,2019,10,104,8.547008547008547,88.88888888888889,6,12.195121951219512,299
wyoming,50,2019,11,42,24.444444444444443,93.33333333333333,6,10.975609756097562,300
