state,case_state,year,lgbtq_total,govt_fund,t,state_policy,temp_id,t2,l_lgbtq_total,l_state_policy,l_govt_fund,l2_lgbtq_total,l2_state_policy,l2_govt_fund,l3_lgbtq_total,l3_state_policy,l3_govt_fund,l4_lgbtq_total,l4_state_policy,l4_govt_fund,l5_lgbtq_total,l5_state_policy,l5_govt_fund,l6_lgbtq_total,l6_state_policy,l6_govt_fund,fd_lgbtq_total,fd_state_policy,fd_govt_fund,fd_l_lgbtq_total,fd_l_state_policy,fd_l_govt_fund,fd_l2_lgbtq_total,fd_l2_state_policy,fd_l2_govt_fund,fd_l3_lgbtq_total,fd_l3_state_policy,fd_l3_govt_fund,fd_l4_lgbtq_total,fd_l4_state_policy,fd_l4_govt_fund
oregon,37,2014,41,181,1,98.85057471264368,37,1,37,29.88505747126437,130,121,2.2988505747126435,511,334,66.66666666666666,887,12,71.26436781609196,35,23,73.5632183908046,62,79,91.95402298850574,283,4,68.9655172413793,51,-84,27.58620689655173,-381,-213,-64.36781609195401,-376,322,-4.597701149425305,852,-11,-2.298850574712631,-27
pennsylvania,38,2014,142,528,1,48.275862068965516,38,1,41,98.85057471264368,181,37,29.88505747126437,130,121,2.2988505747126435,511,334,66.66666666666666,887,12,71.26436781609196,35,23,73.5632183908046,62,101,-50.57471264367816,347,4,68.9655172413793,51,-84,27.58620689655173,-381,-213,-64.36781609195401,-376,322,-4.597701149425305,852
rhode island,39,2014,11,55,1,80.45977011494253,39,1,142,48.275862068965516,528,41,98.85057471264368,181,37,29.88505747126437,130,121,2.2988505747126435,511,334,66.66666666666666,887,12,71.26436781609196,35,-131,32.18390804597701,-473,101,-50.57471264367816,347,4,68.9655172413793,51,-84,27.58620689655173,-381,-213,-64.36781609195401,-376
south carolina,40,2014,26,107,1,4.597701149425287,40,1,11,80.45977011494253,55,142,48.275862068965516,528,41,98.85057471264368,181,37,29.88505747126437,130,121,2.2988505747126435,511,334,66.66666666666666,887,15,-75.86206896551724,52,-131,32.18390804597701,-473,101,-50.57471264367816,347,4,68.9655172413793,51,-84,27.58620689655173,-381
south dakota,41,2014,15,51,1,4.597701149425287,41,1,26,4.597701149425287,107,11,80.45977011494253,55,142,48.275862068965516,528,41,98.85057471264368,181,37,29.88505747126437,130,121,2.2988505747126435,511,-11,0,-56,15,-75.86206896551724,52,-131,32.18390804597701,-473,101,-50.57471264367816,347,4,68.9655172413793,51
tennessee,42,2014,57,272,1,4.597701149425287,42,1,15,4.597701149425287,51,26,4.597701149425287,107,11,80.45977011494253,55,142,48.275862068965516,528,41,98.85057471264368,181,37,29.88505747126437,130,42,0,221,-11,0,-56,15,-75.86206896551724,52,-131,32.18390804597701,-473,101,-50.57471264367816,347
texas,43,2014,68,299,1,16.091954022988507,43,1,57,4.597701149425287,272,15,4.597701149425287,51,26,4.597701149425287,107,11,80.45977011494253,55,142,48.275862068965516,528,41,98.85057471264368,181,11,11.49425287356322,27,42,0,221,-11,0,-56,15,-75.86206896551724,52,-131,32.18390804597701,-473
utah,44,2014,29,103,1,16.091954022988507,44,1,68,16.091954022988507,299,57,4.597701149425287,272,15,4.597701149425287,51,26,4.597701149425287,107,11,80.45977011494253,55,142,48.275862068965516,528,-39,0,-196,11,11.49425287356322,27,42,0,221,-11,0,-56,15,-75.86206896551724,52
virginia,45,2014,71,294,1,39.08045977011494,45,1,29,16.091954022988507,103,68,16.091954022988507,299,57,4.597701149425287,272,15,4.597701149425287,51,26,4.597701149425287,107,11,80.45977011494253,55,42,22.988505747126435,191,-39,0,-196,11,11.49425287356322,27,42,0,221,-11,0,-56
vermont,46,2014,20,78,1,89.65517241379311,46,1,71,39.08045977011494,294,29,16.091954022988507,103,68,16.091954022988507,299,57,4.597701149425287,272,15,4.597701149425287,51,26,4.597701149425287,107,-51,50.57471264367817,-216,42,22.988505747126435,191,-39,0,-196,11,11.49425287356322,27,42,0,221
