region,case_state,year,lgbtq_total,lgbtq_perc,govt_fund,t,state_policy,temp_id,perc_confirmed,lgbtq_actual
mississippi,25,2011,0,0,68.3673469387755,2,7.2289156626506,75,0.136363636363636,0
montana,26,2011,1,1.75438596491228,85.9649122807018,2,12.0481927710843,76,0.0454545454545455,0.0454545454545455
north carolina,27,2011,19,4.35779816513761,44.0366972477064,2,14.4578313253012,77,0.0648648648648649,1.23243243243243
north dakota,28,2011,2,3.44827586206897,43.1034482758621,2,12.0481927710843,78,0.25,0.5
nebraska,29,2011,4,3.2520325203252,81.3008130081301,2,14.4578313253012,79,0.368421052631579,1.47368421052632
new hampshire,30,2011,1,1.85185185185185,62.962962962963,2,55.421686746988,80,0,0
new jersey,31,2011,23,6.37119113573407,59.2797783933518,2,62.6506024096386,81,0.099236641221374,2.2824427480916
new mexico,32,2011,11,7.58620689655172,77.2413793103448,2,40.9638554216867,82,0.137931034482759,1.51724137931034
nevada,33,2011,2,2.4390243902439,65.8536585365854,2,50.6024096385542,83,0.159090909090909,0.318181818181818
new york,34,2011,50,5.30785562632696,58.3864118895966,2,55.421686746988,84,0.139130434782609,6.95652173913043
ohio,35,2011,6,1.60857908847185,73.4584450402145,2,0,85,0.12280701754386,0.736842105263158
oklahoma,36,2011,11,5.58375634517767,55.8375634517767,2,9.63855421686747,86,0.127272727272727,1.4
oregon,37,2011,14,5.95744680851064,62.9787234042553,2,60.2409638554217,87,0.0784313725490196,1.09803921568627
pennsylvania,38,2011,38,6.57439446366782,56.9204152249135,2,16.8674698795181,88,0.225563909774436,8.57142857142857
rhode island,39,2011,3,5.08474576271187,67.7966101694915,2,53.0120481927711,89,0.142857142857143,0.428571428571429
south carolina,40,2011,2,1.9047619047619,60,2,9.63855421686747,90,0.0714285714285714,0.142857142857143
south dakota,41,2011,1,1.72413793103448,75.8620689655172,2,12.0481927710843,91,0.111111111111111,0.111111111111111
tennessee,42,2011,5,2.40384615384615,70.1923076923077,2,7.2289156626506,92,0.05,0.25
texas,43,2011,18,3.78947368421053,55.7894736842105,2,14.4578313253012,93,0.096,1.728
utah,44,2011,10,6.89655172413793,48.9655172413793,2,4.81927710843374,94,0.128205128205128,1.28205128205128
virginia,45,2011,17,7.981220657277,62.9107981220657,2,12.0481927710843,95,0.0816326530612245,1.38775510204082
vermont,46,2011,3,7.14285714285714,73.8095238095238,2,62.6506024096386,96,0.333333333333333,1
washington,47,2011,17,3.75275938189845,55.1876379690949,2,60.2409638554217,97,0.115942028985507,1.97101449275362
wisconsin,48,2011,4,1.50943396226415,53.2075471698113,2,33.7349397590361,98,0.0476190476190476,0.19047619047619
west virginia,49,2011,1,1.04166666666667,71.875,2,12.0481927710843,99,0,0
wyoming,50,2011,1,1.66666666666667,85,2,12.0481927710843,100,0.0588235294117647,0.0588235294117647
alaska,1,2012,3,3.15789473684211,76.8421052631579,3,6.89655172413793,101,0,0
alabama,2,2012,5,3.37837837837838,61.4864864864865,3,4.59770114942529,102,0.0384615384615385,0.192307692307692
arkansas,3,2012,8,8.42105263157895,71.5789473684211,3,20.6896551724138,103,0.0294117647058824,0.235294117647059
arizona,4,2012,28,8.51063829787234,48.0243161094225,3,22.9885057471264,104,0.149606299212598,4.18897637795276
california,5,2012,142,8.81440099317194,59.7765363128492,3,80.4597701149425,105,0.151202749140893,21.4707903780069
colorado,6,2012,36,8.12641083521445,49.6613995485327,3,62.0689655172414,106,0.158415841584158,5.7029702970297
connecticut,7,2012,17,7.62331838565022,70.4035874439462,3,80.4597701149425,107,0.0677966101694915,1.15254237288136
delaware,8,2012,5,12.5,67.5,3,62.0689655172414,108,0.0833333333333333,0.416666666666667
florida,9,2012,51,7.87037037037037,49.0740740740741,3,13.7931034482759,109,0.122065727699531,6.22535211267606
georgia,10,2012,13,4.67625899280576,41.726618705036,3,13.7931034482759,110,0.101123595505618,1.31460674157303
hawaii,11,2012,9,7.37704918032787,86.8852459016393,3,68.9655172413793,111,0,0
iowa,12,2012,13,8.96551724137931,64.1379310344827,3,71.264367816092,112,0.125,1.625
idaho,13,2012,4,3.73831775700935,62.6168224299065,3,6.89655172413793,113,0.08,0.32
illinois,14,2012,30,4.77707006369427,50.9554140127389,3,68.9655172413793,114,0.113475177304965,3.40425531914894
indiana,15,2012,5,1.80505415162455,61.3718411552347,3,27.5862068965517,115,0.0491803278688525,0.245901639344262
kansas,16,2012,4,1.76211453744493,55.9471365638767,3,11.4942528735632,116,0.142857142857143,0.571428571428571
kentucky,17,2012,14,4.32098765432099,48.4567901234568,3,22.9885057471264,117,0.0769230769230769,1.07692307692308
louisiana,18,2012,8,5.33333333333333,60,3,16.0919540229885,118,0,0
massachusetts,19,2012,23,7.01219512195122,68.5975609756098,3,73.5632183908046,119,0.133333333333333,3.06666666666667
maryland,20,2012,21,5.80110497237569,49.4475138121547,3,48.2758620689655,120,0.109375,2.296875
