region,state,so_gi,relational_recognition,non_discrimination,religious_exemption,lgbt_youth,healthcare,criminal_justic,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
louisiana,LA,GI,0/2,0/4.5,-0.25/-0.75,-0.5/3.5,0/4.5,-0.5/2,-1/4,2.5,-2.25,0.25
maine,ME,SO,5.5/8,4.5/4.5,0/-1.25,3.25/3.5,0.5/2,2/2,--,15.75,10,25.75
maine,ME,GI,0/2,4.5/4.5,0/-0.75,3.25/3.5,0.5/4.5,1/2,0.75/4,15.75,10,25.75
maryland,MD,SO,5.5/8,4.5/4.5,0/-1.25,2.25/3.5,1/2,0.5/2,--,13.75,13.5,27.25
maryland,MD,GI,0/2,4.5/4.5,0/-0.75,2/3.5,3.5/4.5,0.5/2,3/4,13.75,13.5,27.25
massachusetts,MA,SO,7.5/8,4.5/4.5,0/-1.25,3.25/3.5,1/2,0.75/2,--,17,14,31
massachusetts,MA,GI,0/2,4.5/4.5,0/-0.75,3.25/3.5,3.5/4.5,0.75/2,2/4,17,14,31
michigan,MI,SO,4/8,2.75/4.5,-0.25/-1.25,1/3.5,0.5/2,-0.5/2,--,7.5,6.75,14.25
michigan,MI,GI,2/2,2.75/4.5,-0.25/-0.75,1/3.5,2.5/4.5,-0.5/2,-0.75/4,7.5,6.75,14.25
minnesota,MN,SO,3/8,4.5/4.5,0/-1.25,2.5/3.5,1.5/2,0.5/2,--,12,14.25,26.25
minnesota,MN,GI,0/2,4.5/4.5,0/-0.75,2.25/3.5,4/4.5,0.5/2,3/4,12,14.25,26.25
mississippi,MS,SO,2.5/8,0/4.5,-1.25/-1.25,-0.25/3.5,1/2,-0.5/2,--,1.5,0,1.5
mississippi,MS,GI,0/2,0/4.5,-0.75/-0.75,-0.25/3.5,0/4.5,-0.5/2,1.5/4,1.5,0,1.5
missouri,MO,SO,2/8,1/4.5,-0.25/-1.25,-0.25/3.5,0.5/2,0.5/2,--,3.5,-0.5,3
missouri,MO,GI,0/2,0.5/4.5,-0.25/-0.75,-0.5/3.5,-0.5/4.5,0.5/2,-0.25/4,3.5,-0.5,3
montana,MT,SO,3/8,0.5/4.5,0/-1.25,0.25/3.5,0.5/2,-0.5/2,--,3.75,4,7.75
montana,MT,GI,0/2,0.5/4.5,0/-0.75,0/3.5,3/4.5,-0.5/2,1/4,3.75,4,7.75
nebraska,NE,SO,2.5/8,0/4.5,0/-1.25,0/3.5,0.5/2,0.5/2,--,3.5,-3.5,0
nebraska,NE,GI,0/2,0/4.5,0/-0.75,0/3.5,-1.5/4.5,-0.5/2,-1.5/4,3.5,-3.5,0
nevada,NV,SO,4/8,4.5/4.5,0/-1.25,2.5/3.5,2/2,1.5/2,--,14.5,15.5,30
nevada,NV,GI,0/2,4.5/4.5,0/-0.75,2.5/3.5,4/4.5,1.5/2,3/4,14.5,15.5,30
new hampshire,NH,SO,2.5/8,3.5/4.5,0/-1.25,3.25/3.5,0.5/2,0.75/2,--,10.5,8.5,19
new hampshire,NH,GI,0/2,3.5/4.5,0/-0.75,3/3.5,1.5/4.5,-0.25/2,0.75/4,10.5,8.5,19
new jersey,NJ,SO,7/8,4.5/4.5,0/-1.25,3.25/3.5,0.5/2,0.5/2,--,15.75,14,29.75
new jersey,NJ,GI,2/2,4.5/4.5,0/-0.75,3.25/3.5,3/4.5,0.5/2,0.75/4,15.75,14,29.75
new mexico,NM,SO,3.5/8,4.5/4.5,-0.25/-1.25,3/3.5,0.5/2,1/2,--,12.25,11.25,23.5
new mexico,NM,GI,0/2,4.5/4.5,-0.25/-0.75,2.25/3.5,2/4.5,1/2,1.75/4,12.25,11.25,23.5
new york,NY,SO,6.5/8,4.5/4.5,0/-1.25,3.5/3.5,2/2,1.5/2,--,18,16,34
new york,NY,GI,2/2,4.5/4.5,0/-0.75,3.25/3.5,3.5/4.5,1.5/2,1.25/4,18,16,34
north carolina,NC,SO,2.5/8,0/4.5,-0.25/-1.25,1.5/3.5,1/2,-0.5/2,--,4.25,0.75,5
north carolina,NC,GI,0/2,0/4.5,0/-0.75,1.5/3.5,0/4.5,-0.5/2,-0.25/4,4.25,0.75,5
north dakota,ND,SO,2.5/8,0/4.5,-0.25/-1.25,0.25/3.5,0.5/2,-0.5/2,--,2.5,-2.25,0.25
north dakota,ND,GI,0/2,0/4.5,-0.25/-0.75,0/3.5,-0.5/4.5,-0.5/2,-1/4,2.5,-2.25,0.25
northern mariana islands,NA,SO,2/8,0.5/4.5,0/-1.25,0.5/3.5,0.5/2,0/2,--,3.5,-2.5,1
northern mariana islands,NA,GI,0/2,0/4.5,0/-0.75,0.5/3.5,0/4.5,0/2,-3/4,3.5,-2.5,1
ohio,OH,SO,2.5/8,1.25/4.5,0/-1.25,0.25/3.5,0.5/2,-0.5/2,--,4,-0.75,3.25
ohio,OH,GI,0/2,1.25/4.5,0/-0.75,0/3.5,-1/4.5,-0.5/2,-0.5/4,4,-0.75,3.25
oklahoma,OK,SO,3.5/8,0/4.5,-0.5/-1.25,-0.5/3.5,1/2,-0.5/2,--,3,-2,1
oklahoma,OK,GI,0/2,0/4.5,-0.5/-0.75,-0.5/3.5,0.5/4.5,-0.5/2,-1/4,3,-2,1
oregon,OR,SO,6/8,3.5/4.5,0/-1.25,3.25/3.5,1.5/2,0.75/2,--,15,15.25,30.25
oregon,OR,GI,0/2,3.5/4.5,0/-0.75,3/3.5,4/4.5,0.75/2,4/4,15,15.25,30.25
pennsylvania,PA,SO,3/8,2.75/4.5,-0.25/-1.25,1.5/3.5,1/2,-0.5/2,--,7.5,8.5,16
pennsylvania,PA,GI,0/2,2.75/4.5,-0.25/-0.75,0.75/3.5,3/4.5,-0.5/2,2.75/4,7.5,8.5,16
puerto rico,NA,SO,5/8,1.5/4.5,0/-1.25,2.5/3.5,1.5/2,1/2,--,11.5,9.75,21.25
puerto rico,NA,GI,0/2,1.5/4.5,0/-0.75,2.5/3.5,2/4.5,1/2,2.75/4,11.5,9.75,21.25
rhode island,RI,SO,6/8,4.5/4.5,-0.25/-1.25,2.5/3.5,2/2,2/2,--,16.75,15.75,32.5
rhode island,RI,GI,2/2,4.5/4.5,-0.25/-0.75,2.25/3.5,4.5/4.5,2/2,0.75/4,16.75,15.75,32.5
south carolina,SC,SO,2.5/8,0/4.5,-0.5/-1.25,-0.5/3.5,1/2,-0.5/2,--,2,-1,1
south carolina,SC,GI,0/2,0/4.5,-0.5/-0.75,-0.5/3.5,0.5/4.5,-0.5/2,0/4,2,-1,1
south dakota,SD,SO,2/8,0/4.5,-0.25/-1.25,-0.25/3.5,0/2,-0.5/2,--,1,-2,-1
south dakota,SD,GI,0/2,0/4.5,-0.25/-0.75,-0.25/3.5,0/4.5,-0.5/2,-1/4,1,-2,-1
tennessee,TN,SO,2.5/8,-0.5/4.5,-0.5/-1.25,0.25/3.5,0/2,0.5/2,--,2.25,-3,-0.75
tennessee,TN,GI,0/2,-0.5/4.5,-0.5/-0.75,0.25/3.5,-1.5/4.5,0.25/2,-1/4,2.25,-3,-0.75
texas,TX,SO,2.5/8,0/4.5,-0.5/-1.25,-0.5/3.5,1/2,0.75/2,--,3.25,-0.75,2.5
texas,TX,GI,0/2,0/4.5,-0.5/-0.75,-0.5/3.5,0.5/4.5,-0.25/2,0/4,3.25,-0.75,2.5
u.s. virgin islands,NA,SO,2.5/8,0.5/4.5,0/-1.25,1/3.5,0/2,0.5/2,--,4.5,0,4.5
u.s. virgin islands,NA,GI,0/2,0.5/4.5,0/-0.75,0/3.5,0/4.5,0.5/2,-1/4,4.5,0,4.5
utah,UT,SO,2/8,2.5/4.5,0/-1.25,1.25/3.5,0/2,0.5/2,--,6.25,5,11.25
utah,UT,GI,0/2,2.5/4.5,0/-0.75,0.25/3.5,0/4.5,0.5/2,1.75/4,6.25,5,11.25
vermont,VT,SO,5/8,4.5/4.5,0/-1.25,3.25/3.5,2/2,1/2,--,15.75,16.25,32
vermont,VT,GI,0/2,4.5/4.5,0/-0.75,3.25/3.5,4/4.5,1/2,3.5/4,15.75,16.25,32
virginia,VA,SO,2/8,0.5/4.5,-0.5/-1.25,0/3.5,0.5/2,-0.5/2,--,2,0.75,2.75
virginia,VA,GI,0/2,0.5/4.5,-0.5/-0.75,0/3.5,0.5/4.5,-0.5/2,0.75/4,2,0.75,2.75
washington,WA,SO,4.5/8,4.5/4.5,0/-1.25,3.25/3.5,1.5/2,0.5/2,--,14.25,16,30.25
washington,WA,GI,0/2,4.5/4.5,0/-0.75,3.25/3.5,4/4.5,0.5/2,3.75/4,14.25,16,30.25
west virginia,WV,SO,2.5/8,0/4.5,0/-1.25,1/3.5,0.5/2,-0.5/2,--,3.5,-1,2.5
west virginia,WV,GI,0/2,0/4.5,0/-0.75,0/3.5,-0.5/4.5,-0.5/2,0/4,3.5,-1,2.5
wisconsin,WI,SO,5/8,3.5/4.5,0/-1.25,1.25/3.5,1/2,0.5/2,--,11.25,1.25,12.5
wisconsin,WI,GI,0/2,1/4.5,0/-0.75,0/3.5,1.5/4.5,-0.5/2,-0.75/4,11.25,1.25,12.5
wyoming,WY,SO,2.5/8,0/4.5,0/-1.25,0.25/3.5,0/2,0/2,--,2.75,-0.75,2
wyoming,WY,GI,0/2,0/4.5,0/-0.75,0/3.5,-1/4.5,0/2,0.25/4,2.75,-0.75,2
