region,state,so_gi,relational_recognition,non_discrimination,religious_exemption,lgbt_youth,healthcare,criminal_justic,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
new hampshire,NH,SO,3/6,3.5/4.5,0/-3.5,3.5/4,1.5/2,1/2,--,12.5,12.75,25.25
new hampshire,NH,GI,1/1,3.5/4.5,0/-2.5,3.5/4,3.5/4.5,1/2,0.25/4,12.5,12.75,25.25
new jersey,NJ,SO,5/6,4.5/4.5,0/-3.5,3.5/4,0.5/2,1.5/2,--,15,15,30
new jersey,NJ,GI,1/1,4.5/4.5,0/-2.5,3.5/4,3/4.5,1.5/2,1.5/4,15,15,30
new mexico,NM,SO,4/6,4.5/4.5,-0.5/-3.5,3.5/4,0.5/2,1/2,--,13,13.5,26.5
new mexico,NM,GI,1/1,4.5/4.5,-0.5/-2.5,2.5/4,2/4.5,1/2,3/4,13,13.5,26.5
new york,NY,SO,5/6,4.5/4.5,0/-3.5,4/4,2/2,2/2,--,17.5,17.25,34.75
new york,NY,GI,1/1,4.5/4.5,0/-2.5,4/4,3.5/4.5,2/2,2.25/4,17.5,17.25,34.75
north carolina,NC,SO,2/6,-0.5/4.5,-0.5/-3.5,1.75/4,1/2,-0.5/2,--,3.25,-0.5,2.75
north carolina,NC,GI,0/1,-0.5/4.5,0/-2.5,1.75/4,0/4.5,-0.5/2,-1.25/4,3.25,-0.5,2.75
north dakota,ND,SO,2/6,0/4.5,-1/-3.5,0.5/4,0.5/2,-0.5/2,--,1.5,-3,-1.5
north dakota,ND,GI,0/1,0/4.5,-1/-2.5,0/4,-0.5/4.5,-0.5/2,-1/4,1.5,-3,-1.5
northern mariana islands,NA,SO,1.5/6,0.5/4.5,0/-3.5,1/4,0.5/2,0/2,--,3.5,-1,2.5
northern mariana islands,NA,GI,0/1,0/4.5,0/-2.5,0.5/4,0/4.5,0/2,-1.5/4,3.5,-1,2.5
ohio,OH,SO,2.5/6,1.25/4.5,0/-3.5,0.5/4,0.5/2,-1/2,--,3.75,-1,2.75
ohio,OH,GI,0/1,1.25/4.5,0/-2.5,0/4,-1/4.5,-1/2,-0.25/4,3.75,-1,2.75
oklahoma,OK,SO,3.5/6,0/4.5,-1.5/-3.5,-0.5/4,1/2,-0.5/2,--,2,-3,-1
oklahoma,OK,GI,0/1,0/4.5,-1.5/-2.5,-0.5/4,0.5/4.5,-0.5/2,-1/4,2,-3,-1
oregon,OR,SO,5/6,3.5/4.5,0/-3.5,3.5/4,1.5/2,1/2,--,14.5,17,31.5
oregon,OR,GI,1/1,3.5/4.5,0/-2.5,3.5/4,4/4.5,1/2,4/4,14.5,17,31.5
pennsylvania,PA,SO,3/6,2.75/4.5,-0.5/-3.5,1/4,1/2,-0.5/2,--,6.75,9.25,16
pennsylvania,PA,GI,0/1,2.75/4.5,-0.5/-2.5,1/4,4/4.5,-0.5/2,2.5/4,6.75,9.25,16
puerto rico,NA,SO,3.25/6,1.5/4.5,0/-3.5,2.75/4,1.5/2,1/2,--,10,10,20
puerto rico,NA,GI,0/1,1.5/4.5,0/-2.5,2.75/4,2/4.5,1/2,2.75/4,10,10,20
rhode island,RI,SO,4.75/6,4.5/4.5,-0.5/-3.5,3/4,2/2,2/2,--,15.75,17,32.75
rhode island,RI,GI,1/1,4.5/4.5,-0.5/-2.5,2.5/4,4.5/4.5,2/2,3/4,15.75,17,32.75
south carolina,SC,SO,2/6,0/4.5,-1.5/-3.5,0/4,1/2,-0.5/2,--,1,-1.5,-0.5
south carolina,SC,GI,0/1,0/4.5,-1.5/-2.5,0/4,0.5/4.5,-0.5/2,0/4,1,-1.5,-0.5
