"","region","case_state","year","govt_fund","lgbtq_perc","lgbtq_perc_actual","lgbtq_total","n","govt_total","perc_confirmed","lgbtq_actual","t","n_facility","state_policy","temp_id"
"82","new mexico",32,2011,77.2413793103448,7.58620689655172,1.04637336504162,11,145,112,0.137931034482759,1.51724137931034,2,210.349921681891,40.9638554216867,82
"83","nevada",33,2011,65.8536585365854,2.4390243902439,0.388026607538803,2,82,54,0.159090909090909,0.318181818181818,2,148.337925373601,50.6024096385542,83
"84","new york",34,2011,58.3864118895966,5.30785562632696,0.738484261054186,50,942,550,0.139130434782609,6.95652173913043,2,430.406553946088,55.421686746988,84
"85","ohio",35,2011,73.4584450402145,1.60857908847185,0.197544800338648,6,373,274,0.12280701754386,0.736842105263158,2,350.796702198295,0,85
"86","oklahoma",36,2011,55.8375634517767,5.58375634517767,0.710659898477157,11,197,110,0.127272727272727,1.4,2,230.998585350577,9.63855421686747,86
"87","oregon",37,2011,62.9787234042553,5.95744680851064,0.467250730079266,14,235,148,0.0784313725490196,1.09803921568627,2,274.432114917966,60.2409638554217,87
"88","pennsylvania",38,2011,56.9204152249135,6.57439446366782,1.48294611962432,38,578,329,0.225563909774436,8.57142857142857,2,246.737711325735,16.8674698795181,88
"89","rhode island",39,2011,67.7966101694915,5.08474576271187,0.726392251815981,3,59,40,0.142857142857143,0.428571428571429,2,292.67528237266,53.0120481927711,89
"90","south carolina",40,2011,60,1.9047619047619,0.136054421768707,2,105,63,0.0714285714285714,0.142857142857143,2,228.109861295602,9.63855421686747,90
"91","south dakota",41,2011,75.8620689655172,1.72413793103448,0.191570881226054,1,58,44,0.111111111111111,0.111111111111111,2,184.448797718977,12.0481927710843,91
"92","tennessee",42,2011,70.1923076923077,2.40384615384615,0.120192307692308,5,208,146,0.05,0.25,2,340.323863278904,7.2289156626506,92
"93","texas",43,2011,55.7894736842105,3.78947368421053,0.36378947368421,18,475,265,0.096,1.728,2,397.891605661543,14.4578313253012,93
"94","utah",44,2011,48.9655172413793,6.89655172413793,0.884173297966401,10,145,71,0.128205128205128,1.28205128205128,2,235.138543041562,4.81927710843374,94
"95","virginia",45,2011,62.9107981220657,7.981220657277,0.651528216920571,17,213,134,0.0816326530612245,1.38775510204082,2,257.745884319051,12.0481927710843,95
"96","vermont",46,2011,73.8095238095238,7.14285714285714,2.38095238095238,3,42,31,0.333333333333333,1,2,162.773756326573,62.6506024096386,96
"97","washington",47,2011,55.1876379690949,3.75275938189845,0.435102537031705,17,453,250,0.115942028985507,1.97101449275362,2,229.34201702414,60.2409638554217,97
